date,total_clones,unique_clones
2022-08-25,10,5
2022-08-26,4,3
2022-08-27,7,4
2022-08-28,4,3
2022-08-29,5,4
2022-08-30,2,2
2022-08-31,2,2
2022-09-01,4,3
2022-09-02,3,3
2022-09-03,3,3
2022-09-04,3,3
2022-09-05,3,3
2022-09-06,2,2
2022-09-07,1,1
2022-09-08,2,2
2022-09-09,2,2
2022-09-10,2,2
2022-09-11,1,1
2022-09-12,1,1
2022-09-13,2,2
2022-09-14,2,2
2022-09-15,2,2
2022-09-16,3,3
2022-09-17,2,2
2022-09-18,2,2
2022-09-19,1,1
2022-09-20,1,1
2022-09-21,1,1
2022-09-22,2,2
2022-09-23,1,1
2022-09-24,2,2
2022-09-25,1,1
2022-09-26,1,1
2022-09-27,1,1
2022-09-28,1,1
2022-09-29,2,2
2022-09-30,2,2
2022-10-01,1,1
2022-10-02,1,1
2022-10-03,1,1
2022-10-04,1,1
2022-10-05,1,1
2022-10-06,2,2
2022-10-07,3,2
2022-10-08,3,2
2022-10-09,3,2
2022-10-10,1,1
2022-10-11,1,1
2022-10-12,5,4
2022-10-13,5,4
2022-10-14,5,4
2022-10-15,4,3
2022-10-16,5,4
2022-10-17,5,4
2022-10-18,5,4
2022-10-19,6,5
2022-10-20,4,3
2022-10-21,6,5
2022-10-22,4,3
2022-10-23,5,4
2022-10-24,2,2
2022-10-25,5,3
2022-10-26,6,5
2022-10-27,6,5
2022-10-28,4,3
2022-10-29,5,4
2022-10-30,5,4
2022-10-31,3,2
2022-11-01,2,2
2022-11-02,7,6
2022-11-03,5,4
2022-11-04,4,3
2022-11-05,5,4
2022-11-06,5,4
2022-11-07,5,4
2022-11-08,5,4
2022-11-09,5,4
2022-11-10,5,4
2022-11-11,5,4
2022-11-12,5,4
2022-11-13,6,5
2022-11-14,6,5
2022-11-15,5,4
2022-11-16,2,2
2022-11-17,4,3
2022-11-18,4,3
2022-11-19,4,3
2022-11-20,6,5
2022-11-21,5,4
2022-11-22,6,5
2022-11-23,5,4
2022-11-24,7,6
2022-11-25,5,4
2022-11-26,5,4
2022-11-27,5,4
2022-11-28,5,4
2022-11-29,5,4
2022-11-30,2,2
2022-12-01,4,3
2022-12-02,4,3
2022-12-03,4,3
2022-12-04,5,4
2022-12-05,3,2
2022-12-06,2,2
2022-12-07,7,5
2022-12-08,1,1
2022-12-09,1,1
2022-12-10,3,3
2022-12-11,1,1
2022-12-12,4,3
2022-12-13,1,1
2022-12-14,8,6
2022-12-15,6,5
2022-12-16,4,3
2022-12-17,5,4
2022-12-18,3,2
2022-12-19,5,4
2022-12-20,5,4
2022-12-21,7,5
2022-12-22,3,2
2022-12-23,5,4
2022-12-24,4,3
2022-12-25,6,5
2022-12-26,4,3
2022-12-27,5,4
2022-12-28,4,3
2022-12-29,4,4
2022-12-30,4,3
2022-12-31,4,3
2023-01-01,3,2
2023-01-02,3,2
2023-01-03,7,5
2023-01-04,3,2
2023-01-05,6,4
2023-01-06,6,5
2023-01-07,7,5
2023-01-08,4,3
2023-01-09,5,4
2023-01-10,6,5
2023-01-11,5,4
2023-01-12,6,5
2023-01-13,5,4
2023-01-14,4,3
2023-01-15,5,4
2023-01-16,7,6
2023-01-17,4,3
2023-01-18,4,3
2023-01-19,5,4
2023-01-20,3,2
2023-01-21,3,2
2023-01-22,4,3
2023-01-23,4,3
2023-01-24,3,2
2023-01-25,4,3
2023-01-26,3,2
2023-01-27,3,2
2023-01-28,4,3
2023-01-29,4,3
2023-01-30,6,5
2023-01-31,4,3
2023-02-01,3,2
2023-02-02,3,2
2023-02-03,5,4
2023-02-04,4,3
2023-02-05,5,4
2023-02-06,5,4
2023-02-07,3,2
2023-02-08,5,4
2023-02-09,3,2
2023-02-10,4,3
2023-02-11,3,2
2023-02-12,5,4
2023-02-13,6,5
2023-02-14,3,2
2023-02-15,3,2
