date,total_views,unique_views
2022-08-16,1,1
2022-08-17,21,3
2022-08-18,20,3
2022-08-19,15,4
2022-08-20,0,0
2022-08-21,49,2
2022-08-22,25,2
2022-08-23,42,2
2022-08-24,9,5
2022-08-25,30,3
2022-08-26,36,2
2022-08-27,90,6
2022-08-28,16,2
2022-08-29,47,6
2022-08-30,18,5
2022-08-31,17,4
2022-09-01,28,4
2022-09-02,14,3
2022-09-03,4,4
2022-09-04,7,1
2022-09-05,12,1
2022-09-06,19,2
2022-09-07,14,4
2022-09-08,30,2
2022-09-09,17,7
2022-09-10,65,8
2022-09-11,102,9
2022-09-12,180,12
2022-09-13,67,5
2022-09-14,44,6
2022-09-15,31,4
2022-09-16,110,11
2022-09-17,9,3
2022-09-18,7,2
2022-09-19,6,1
2022-09-20,5,3
2022-09-21,23,5
2022-09-22,17,3
2022-09-23,3,1
2022-09-24,0,0
2022-09-25,2,1
2022-09-26,0,0
2022-09-27,2,2
2022-09-28,22,2
2022-09-29,59,4
2022-09-30,4,1
2022-10-01,1,1
2022-10-02,48,4
2022-10-03,1,1
2022-10-04,123,9
2022-10-05,155,12
2022-10-06,117,12
2022-10-07,13,3
2022-10-08,11,1
2022-10-09,3,1
2022-10-10,6,1
2022-10-11,10,2
2022-10-12,10,3
2022-10-13,7,2
2022-10-14,46,7
2022-10-15,32,4
2022-10-16,0,0
2022-10-17,1,1
2022-10-18,3,2
2022-10-19,30,3
2022-10-20,45,3
2022-10-21,64,5
2022-10-22,47,3
2022-10-23,14,5
2022-10-24,98,8
2022-10-25,143,15
2022-10-26,145,15
2022-10-27,195,17
2022-10-28,88,9
2022-10-29,16,1
2022-10-30,9,2
2022-10-31,26,4
2022-11-01,1,1
2022-11-02,0,0
2022-11-03,4,1
2022-11-04,7,1
2022-11-05,13,3
2022-11-06,3,2
2022-11-07,15,4
2022-11-08,2,1
2022-11-09,14,2
2022-11-10,5,1
2022-11-11,14,2
2022-11-12,4,2
2022-11-13,54,3
2022-11-14,53,4
2022-11-15,8,2
2022-11-16,24,2
2022-11-17,34,3
2022-11-18,45,2
2022-11-19,6,2
2022-11-20,16,2
2022-11-21,91,11
2022-11-22,13,2
2022-11-23,70,5
2022-11-24,54,6
2022-11-25,203,10
2022-11-26,81,16
2022-11-27,200,12
2022-11-28,277,18
2022-11-29,52,8
2022-11-30,57,7
2022-12-01,243,12
2022-12-02,85,8
2022-12-03,23,5
2022-12-04,22,2
2022-12-05,0,0
2022-12-06,0,0
2022-12-07,3,1
2022-12-08,25,8
2022-12-09,1,1
2022-12-10,0,0
2022-12-11,0,0
2022-12-12,1,1
2022-12-13,9,2
2022-12-14,8,3
2022-12-15,3,2
2022-12-16,0,0
2022-12-17,7,2
2022-12-18,0,0
2022-12-19,0,0
2022-12-20,0,0
2022-12-21,1,1
2022-12-22,0,0
2022-12-23,0,0
2022-12-24,0,0
2022-12-25,0,0
2022-12-26,0,0
2022-12-27,3,1
2022-12-28,0,0
2022-12-29,0,0
2022-12-30,1,1
2022-12-31,0,0
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,1,1
2023-01-05,1,1
2023-01-06,0,0
2023-01-07,2,1
2023-01-08,0,0
2023-01-09,0,0
2023-01-10,1,1
2023-01-11,10,4
2023-01-12,5,4
2023-01-13,6,3
2023-01-14,22,4
2023-01-15,67,2
2023-01-16,10,2
2023-01-17,34,3
2023-01-18,44,9
2023-01-19,14,5
2023-01-20,26,6
2023-01-21,41,6
2023-01-22,15,7
2023-01-23,40,12
2023-01-24,65,11
2023-01-25,23,2
2023-01-26,36,3
2023-01-27,4,1
2023-01-28,0,0
2023-01-29,0,0
2023-01-30,15,2
2023-01-31,1,1
2023-02-01,10,2
2023-02-02,5,2
2023-02-03,73,4
2023-02-04,25,2
2023-02-05,10,5
2023-02-06,89,8
2023-02-07,64,4
2023-02-08,19,5
2023-02-09,23,2
2023-02-10,1,1
2023-02-11,40,3
2023-02-12,35,2
2023-02-13,10,4
2023-02-14,3,2
2023-02-15,2,2
2023-02-16,28,4
2023-02-17,3,2
2023-02-18,10,2
2023-02-19,21,5
2023-02-20,155,8
2023-02-21,29,6
2023-02-22,47,6
2023-02-23,1,1
2023-02-24,50,3
2023-02-25,66,4
2023-02-26,3,3
2023-02-27,125,11
2023-02-28,94,9
2023-03-01,82,9
2023-03-02,120,11
2023-03-03,202,15
2023-03-04,98,8
2023-03-05,12,2
2023-03-06,15,2
2023-03-07,8,2
2023-03-08,7,3
2023-03-09,2,1
2023-03-10,0,0
2023-03-11,2,1
2023-03-12,0,0
2023-03-13,51,3
2023-03-14,17,2
2023-03-15,26,2
2023-03-16,8,1
2023-03-17,10,2
2023-03-18,29,3
2023-03-19,17,3
2023-03-20,95,7
2023-03-21,44,9
2023-03-22,181,14
2023-03-23,271,24
2023-03-24,159,17
2023-03-25,6,3
2023-03-26,26,7
2023-03-27,172,11
2023-03-28,42,5
2023-03-29,22,4
2023-03-30,51,3
2023-03-31,80,12
2023-04-01,0,0
2023-04-02,11,1
2023-04-03,25,1
2023-04-04,129,8
2023-04-05,137,12
2023-04-06,105,8
2023-04-07,119,5
2023-04-08,5,2
2023-04-09,25,1
2023-04-10,3,2
2023-04-11,0,0
2023-04-12,104,4
2023-04-13,42,4
2023-04-14,26,5
2023-04-15,33,1
2023-04-16,100,4
2023-04-17,65,7
2023-04-18,71,6
2023-04-19,56,4
2023-04-20,96,11
2023-04-21,81,10
2023-04-22,21,3
2023-04-23,6,2
2023-04-24,274,14
2023-04-25,409,20
2023-04-26,438,21
2023-04-27,132,18
2023-04-28,119,11
2023-04-29,113,8
2023-04-30,4,1
2023-05-01,0,0
2023-05-02,0,0
2023-05-03,5,1
2023-05-04,24,5
2023-05-05,10,4
2023-05-06,1,1
2023-05-07,0,0
2023-05-08,30,4
2023-05-09,0,0
2023-05-10,2,2
2023-05-11,1,1
2023-05-12,0,0
2023-05-13,0,0
2023-05-14,0,0
2023-05-15,1,1
2023-05-16,0,0
2023-05-17,12,2
2023-05-18,0,0
2023-05-19,46,7
2023-05-20,32,4
2023-05-21,67,1
2023-05-22,2,1
2023-05-23,57,2
2023-05-24,83,9
2023-05-25,128,4
2023-05-26,53,4
2023-05-27,0,0
2023-05-28,0,0
2023-05-29,12,2
2023-05-30,25,2
2023-05-31,24,4
2023-06-01,12,2
2023-06-02,22,4
2023-06-03,178,8
2023-06-04,99,7
2023-06-05,35,5
2023-06-06,6,1
2023-06-07,24,3
2023-06-08,31,1
2023-06-09,11,3
2023-06-10,57,5
2023-06-11,85,6
2023-06-12,55,7
2023-06-13,23,3
2023-06-14,1,1
2023-06-15,31,2
2023-06-16,6,2
2023-06-17,0,0
2023-06-18,12,1
2023-06-19,8,1
2023-06-20,44,3
2023-06-21,150,6
2023-06-22,124,9
2023-06-23,230,6
2023-06-24,61,2
2023-06-25,22,2
2023-06-26,7,2
2023-06-27,23,3
2023-06-28,5,2
2023-06-29,15,1
2023-06-30,0,0
2023-07-01,0,0
2023-07-02,0,0
2023-07-03,3,1
2023-07-04,0,0
2023-07-05,1,1
2023-07-06,0,0
2023-07-07,0,0
2023-07-08,0,0
2023-07-09,0,0
2023-07-10,0,0
2023-07-11,0,0
2023-07-12,0,0
2023-07-13,0,0
2023-07-14,0,0
2023-07-15,0,0
2023-07-16,0,0
2023-07-17,11,2
2023-07-18,5,1
2023-07-19,0,0
2023-07-20,1,1
2023-07-21,0,0
2023-07-22,0,0
2023-07-23,0,0
2023-07-24,0,0
2023-07-25,0,0
2023-07-26,2,1
2023-07-27,1,1
2023-07-28,1,1
2023-07-29,0,0
2023-07-30,8,1
2023-07-31,1,1
2023-08-01,1,1
2023-08-02,0,0
2023-08-03,2,2
2023-08-04,0,0
2023-08-05,0,0
2023-08-06,0,0
2023-08-07,0,0
2023-08-08,1,1
2023-08-09,0,0
2023-08-10,0,0
2023-08-11,0,0
2023-08-12,1,1
2023-08-13,0,0
2023-08-14,69,1
2023-08-15,0,0
2023-08-16,1,1
2023-08-17,0,0
2023-08-18,38,2
2023-08-19,26,2
2023-08-20,67,1
2023-08-21,133,4
2023-08-22,14,5
2023-08-23,19,5
2023-08-24,3,2
2023-08-25,116,9
2023-08-26,23,4
2023-08-27,16,2
2023-08-28,71,2
2023-08-29,52,3
2023-08-30,10,3
2023-08-31,3,1
2023-09-01,48,10
2023-09-02,42,5
2023-09-03,16,2
2023-09-04,0,0
2023-09-05,0,0
2023-09-06,24,2
2023-09-07,4,1
2023-09-08,14,3
2023-09-09,7,1
2023-09-10,76,7
2023-09-11,77,6
2023-09-12,44,7
2023-09-13,65,8
2023-09-14,24,9
2023-09-15,106,9
2023-09-16,1,1
2023-09-17,0,0
2023-09-18,6,3
2023-09-19,2,2
2023-09-20,1,1
2023-09-21,6,2
2023-09-22,0,0
2023-09-23,7,1
2023-09-24,33,3
2023-09-25,1,1
2023-09-26,5,2
2023-09-27,1,1
2023-09-28,0,0
2023-09-29,2,2
2023-09-30,0,0
2023-10-01,76,3
2023-10-02,49,4
2023-10-03,103,3
2023-10-04,136,7
2023-10-05,563,14
2023-10-06,333,11
2023-10-07,143,5
2023-10-08,126,4
2023-10-09,90,4
2023-10-10,12,5
2023-10-11,50,4
2023-10-12,95,7
2023-10-13,6,1
2023-10-14,0,0
2023-10-15,0,0
2023-10-16,36,2
2023-10-17,54,3
2023-10-18,18,4
2023-10-19,187,6
2023-10-20,506,15
2023-10-21,157,5
2023-10-22,113,6
2023-10-23,323,12
2023-10-24,81,5
2023-10-25,44,5
2023-10-26,12,4
2023-10-27,198,15
2023-10-28,0,0
2023-10-29,0,0
2023-10-30,14,1
2023-10-31,0,0
2023-11-01,3,3
2023-11-02,0,0
2023-11-03,2,1
2023-11-04,0,0
2023-11-05,8,2
2023-11-06,0,0
2023-11-07,33,4
2023-11-08,20,4
2023-11-09,1,1
2023-11-10,0,0
2023-11-11,3,1
2023-11-12,0,0
2023-11-13,61,2
2023-11-14,6,1
2023-11-15,91,3
2023-11-16,2,1
2023-11-17,3,1
2023-11-18,3,1
2023-11-19,2,1
2023-11-20,1,1
2023-11-21,32,1
2023-11-22,78,1
2023-11-23,18,1
2023-11-24,59,2
2023-11-25,41,2
2023-11-26,218,2
2023-11-27,368,7
2023-11-28,148,4
2023-11-29,531,9
2023-11-30,148,7
2023-12-01,1019,21
2023-12-02,679,19
2023-12-03,240,7
2023-12-04,139,4
2023-12-05,12,2
2023-12-06,0,0
2023-12-07,81,5
2023-12-08,9,2
2023-12-09,3,1
2023-12-10,0,0
2023-12-11,0,0
2023-12-12,2,1
2023-12-13,2,1
2023-12-14,0,0
2023-12-15,2,1
2023-12-16,0,0
2023-12-17,27,2
2023-12-18,0,0
2023-12-19,0,0
2023-12-20,0,0
2023-12-21,0,0
2023-12-22,0,0
2023-12-23,0,0
2023-12-24,0,0
2023-12-25,0,0
2023-12-26,0,0
2023-12-27,0,0
2023-12-28,65,1
2023-12-29,0,0
2023-12-30,0,0
2023-12-31,1,1
2024-01-01,0,0
2024-01-02,14,1
2024-01-03,1,1
2024-01-04,0,0
2024-01-05,0,0
2024-01-06,0,0
2024-01-07,0,0
2024-01-08,0,0
2024-01-09,1,1
2024-01-10,1,1
2024-01-11,2,2
2024-01-12,29,1
2024-01-13,12,1
2024-01-14,0,0
2024-01-15,10,2
2024-01-16,1,1
2024-01-17,0,0
2024-01-18,34,3
2024-01-19,60,6
2024-01-20,3,2
2024-01-21,1,1
2024-01-22,10,2
2024-01-23,2,1
2024-01-24,9,1
2024-01-25,0,0
2024-01-26,6,2
2024-01-27,1,1
2024-01-28,1,1
2024-01-29,8,3
2024-01-30,0,0
2024-01-31,26,4
2024-02-01,11,1
2024-02-02,52,8
2024-02-03,156,6
2024-02-04,51,3
2024-02-05,29,4
2024-02-06,2,1
2024-02-07,0,0
2024-02-08,0,0
2024-02-09,0,0
2024-02-10,0,0
2024-02-11,29,2
2024-02-12,45,3
2024-02-13,30,4
2024-02-14,33,4
2024-02-15,99,2
2024-02-16,39,7
2024-02-17,2,2
2024-02-18,1,1
2024-02-19,3,1
2024-02-20,0,0
2024-02-21,1,1
2024-02-22,0,0
2024-02-23,0,0
2024-02-24,0,0
2024-02-25,0,0
2024-02-26,0,0
2024-02-27,27,3
2024-02-28,50,3
2024-02-29,220,5
2024-03-01,476,9
2024-03-02,245,7
2024-03-03,73,4
2024-03-04,0,0
2024-03-05,0,0
2024-03-06,0,0
2024-03-07,0,0
2024-03-08,0,0
2024-03-09,0,0
2024-03-10,133,4
2024-03-11,38,3
2024-03-12,21,2
2024-03-13,106,6
2024-03-14,0,0
2024-03-15,39,4
2024-03-16,66,2
2024-03-17,14,1
2024-03-18,0,0
2024-03-19,8,2
2024-03-20,116,6
2024-03-21,31,3
2024-03-22,21,2
2024-03-23,21,1
2024-03-24,250,7
2024-03-25,106,11
2024-03-26,93,3
2024-03-27,76,7
2024-03-28,6,3
2024-03-29,124,9
2024-03-30,28,3
2024-03-31,34,2
2024-04-01,37,2
2024-04-02,3,1
2024-04-03,22,2
2024-04-04,3,2
2024-04-05,2,1
2024-04-06,5,1
2024-04-07,0,0
2024-04-08,29,1
2024-04-09,0,0
2024-04-10,1,1
2024-04-11,0,0
2024-04-12,0,0
2024-04-13,0,0
2024-04-14,1,1
2024-04-15,2,1
2024-04-16,0,0
2024-04-17,9,1
2024-04-18,14,1
2024-04-19,1,1
2024-04-20,12,1
2024-04-21,0,0
2024-04-22,502,4
2024-04-23,968,12
2024-04-24,172,11
2024-04-25,66,3
2024-04-26,44,4
2024-04-27,28,1
2024-04-28,6,1
2024-04-29,19,1
2024-04-30,25,1
2024-05-01,0,0
2024-05-02,1,1
2024-05-03,33,2
2024-05-04,0,0
2024-05-05,0,0
2024-05-06,0,0
2024-05-07,1,1
2024-05-08,0,0
2024-05-09,6,1
2024-05-10,0,0
2024-05-11,0,0
2024-05-12,0,0
2024-05-13,1,1
2024-05-14,0,0
2024-05-15,1,1
2024-05-16,9,1
2024-05-17,7,2
2024-05-18,2,2
2024-05-19,1,1
2024-05-20,29,4
2024-05-21,4,3
2024-05-22,1,1
2024-05-23,14,3
2024-05-24,0,0
2024-05-25,13,2
2024-05-26,0,0
2024-05-27,0,0
2024-05-28,4,3
2024-05-29,118,4
2024-05-30,16,1
2024-05-31,0,0
2024-06-01,0,0
2024-06-02,7,1
2024-06-03,149,6
2024-06-04,34,3
2024-06-05,31,2
2024-06-06,51,3
2024-06-07,59,3
2024-06-08,7,2
2024-06-09,41,3
2024-06-10,40,4
2024-06-11,64,7
2024-06-12,73,3
2024-06-13,25,6
2024-06-14,76,4
2024-06-15,42,1
2024-06-16,34,2
2024-06-17,25,2
2024-06-18,56,2
2024-06-19,123,5
2024-06-20,145,6
2024-06-21,126,6
2024-06-22,46,6
2024-06-23,202,5
2024-06-24,83,3
2024-06-25,26,3
2024-06-26,0,0
2024-06-27,0,0
2024-06-28,20,1
2024-06-29,6,1
2024-06-30,0,0
2024-07-01,2,2
2024-07-02,0,0
2024-07-03,0,0
2024-07-04,1,1
2024-07-05,0,0
2024-07-06,0,0
2024-07-07,0,0
2024-07-08,1,1
2024-07-09,0,0
2024-07-10,0,0
2024-07-11,0,0
2024-07-12,0,0
2024-07-13,0,0
2024-07-14,0,0
2024-07-15,0,0
2024-07-16,0,0
2024-07-17,0,0
2024-07-18,2,1
2024-07-19,2,1
2024-07-20,0,0
2024-07-21,0,0
2024-07-22,1,1
2024-07-23,26,2
2024-07-24,0,0
2024-07-25,0,0
2024-07-26,0,0
2024-07-27,0,0
2024-07-28,2,1
2024-07-29,0,0
2024-07-30,0,0
2024-07-31,0,0
2024-08-01,0,0
2024-08-02,0,0
2024-08-03,1,1
2024-08-04,0,0
2024-08-05,22,2
2024-08-06,0,0
2024-08-07,0,0
2024-08-08,0,0
2024-08-09,0,0
2024-08-10,1,1
2024-08-11,0,0
2024-08-12,0,0
2024-08-13,2,1
2024-08-14,1,1
2024-08-15,21,1
2024-08-16,0,0
2024-08-17,0,0
2024-08-18,1,1
2024-08-19,23,1
2024-08-20,9,3
2024-08-21,1,1
2024-08-22,0,0
2024-08-23,1,1
2024-08-24,6,3
2024-08-25,0,0
2024-08-26,15,3
2024-08-27,19,2
2024-08-28,8,1
2024-08-29,0,0
2024-08-30,2,2
2024-08-31,0,0
2024-09-01,0,0
2024-09-02,1,1
2024-09-03,14,2
2024-09-04,3,1
2024-09-05,32,3
2024-09-06,0,0
2024-09-07,0,0
2024-09-08,1,1
2024-09-09,1,1
2024-09-10,12,3
2024-09-11,18,4
2024-09-12,21,5
2024-09-13,92,3
2024-09-14,0,0
2024-09-15,97,3
2024-09-16,4,2
2024-09-17,3,2
2024-09-18,7,4
2024-09-19,18,1
2024-09-20,4,2
2024-09-21,1,1
2024-09-22,1,1
2024-09-23,1,1
2024-09-24,21,2
2024-09-25,1,1
2024-09-26,8,1
2024-09-27,26,6
2024-09-28,11,2
2024-09-29,1,1
2024-09-30,8,2
2024-10-01,6,2
2024-10-02,24,3
2024-10-03,96,7
2024-10-04,70,8
2024-10-05,19,2
2024-10-06,24,4
2024-10-07,1,1
2024-10-08,0,0
2024-10-09,0,0
2024-10-10,1,1
2024-10-11,1,1
2024-10-12,0,0
2024-10-13,1,1
2024-10-14,6,1
2024-10-15,6,1
2024-10-16,0,0
2024-10-17,1,1
2024-10-18,22,3
2024-10-19,6,3
2024-10-20,29,3
2024-10-21,7,1
2024-10-22,11,3
2024-10-23,71,9
2024-10-24,34,6
2024-10-25,62,8
2024-10-26,24,3
2024-10-27,44,2
2024-10-28,4,1
2024-10-29,3,2
2024-10-30,9,3
2024-10-31,56,1
2024-11-01,17,3
2024-11-02,0,0
2024-11-03,2,2
2024-11-04,17,1
2024-11-05,6,1
2024-11-06,6,1
2024-11-07,1,1
2024-11-08,13,4
2024-11-09,1,1
2024-11-10,0,0
2024-11-11,2,1
2024-11-12,98,2
2024-11-13,53,3
2024-11-14,21,2
2024-11-15,11,3
2024-11-16,1,1
2024-11-17,27,1
2024-11-18,19,4
2024-11-19,17,1
2024-11-20,39,4
2024-11-21,42,3
2024-11-22,4,1
2024-11-23,2,1
2024-11-24,2,2
2024-11-25,9,4
2024-11-26,16,3
2024-11-27,7,2
2024-11-28,5,2
2024-11-29,0,0
2024-11-30,5,2
2024-12-01,50,3
2024-12-02,111,9
2024-12-03,134,7
2024-12-04,203,9
2024-12-05,81,5
2024-12-06,2,2
2024-12-07,2,2
2024-12-08,0,0
2024-12-09,0,0
2024-12-10,0,0
2024-12-11,2,2
2024-12-12,0,0
2024-12-13,23,2
2024-12-14,2,1
2024-12-15,0,0
2024-12-16,2,1
2024-12-17,0,0
2024-12-18,1,1
2024-12-19,0,0
2024-12-20,0,0
2024-12-21,0,0
2024-12-22,0,0
2024-12-23,0,0
2024-12-24,0,0
2024-12-25,0,0
2024-12-26,0,0
2024-12-27,0,0
2024-12-28,0,0
2024-12-29,0,0
2024-12-30,0,0
